Node,S1,S2,S12,N,XYZ
94,4203.608914534809,-2596.1708653255846,-3752.6348857126122,94,[3.277401 2.584007 0.      ]
95,219.01051275693055,-1401.2052558760624,-7029.185173084395,95,[3.353553 2.646447 0.      ]
96,-3443.4066368040058,1066.874941206704,-4571.234350858118,96,[3.415993 2.722599 0.      ]
97,-5961.032219917545,1041.0507080116315,-1427.9402764139165,97,[3.461939 2.808659 0.      ]
98,-5258.786908175338,1469.6790154018295,-1350.9017357538792,98,[3.490303 2.902001 0.      ]
99,687.7801524784097,10899.952357797913,-3569.5163003167445,99,[3.245152 2.951    0.      ]
100,3834.516934821463,9615.671764498915,-6331.655993769909,100,[3.230969 2.904329 0.      ]
101,9234.581387660965,9238.504340548407,-7431.560266858181,101,[3.207997 2.8613   0.      ]
102,-3277.478963275191,-1478.0812182515901,-5809.233921529066,102,[3.176777 2.823223 0.      ]
103,1304.2213761121106,1052.9414492657183,-129.3442152457952,103,[3.1387   2.792003 0.      ]
104,4135.825373419565,1633.2424993239194,-1957.937501973514,104,[3.095671 2.769031 0.      ]
105,4867.703367528782,552.7928223586431,-1318.3491777747809,105,[3.049    2.754848 0.      ]
106,5235.942976541219,-17.581815980063425,28.879099655020813,106,[3.   2.75 0.  ]
107,4700.62784956086,460.8979293527224,1364.7811636837275,107,[2.951    2.754848 0.      ]
108,3938.7878523330555,1438.0237730843753,2056.106306990254,108,[2.904329 2.769031 0.      ]
109,2241.9756379010378,1766.3123596058617,674.3925649845696,109,[2.8613   2.792003 0.      ]
110,-3200.0439195257104,-2371.9892716693876,6224.087466734387,110,[2.823223 2.823223 0.      ]
111,8854.435799858951,8639.26258805596,7032.063881117048,111,[2.792003 2.8613   0.      ]
112,4130.354579834155,10074.741037371157,6476.169138207788,112,[2.769031 2.904329 0.      ]
113,782.6434412304015,11412.66621045391,3683.2195481925573,113,[2.754848 2.951    0.      ]
116,-43.142667294284365,11642.649183472826,1889.4457230612368,116,[2.752424 2.9755   0.      ]
119,2298.147112483289,10434.740457508939,5287.816966624895,119,[2.761939 2.927665 0.      ]
122,6379.705968141108,8534.47581674396,6870.979545374703,122,[2.780517 2.882814 0.      ]
125,8638.99170085226,5650.171465296362,8140.872502027873,125,[2.807613 2.842261 0.      ]
128,-3312.2458028722285,-556.7177681954008,-112.41990240041983,128,[2.842261 2.807613 0.      ]
131,3008.8350761377988,1744.9374455183734,1328.3289303028482,131,[2.882814 2.780517 0.      ]
134,3642.8139283733176,767.0345796213703,1684.3578260187794,134,[2.927665 2.761939 0.      ]
137,4474.983656154911,61.01204970728713,683.795529932327,137,[2.9755   2.752424 0.      ]
140,4501.905430538192,67.09893164833625,-634.0404154800291,140,[3.0245   2.752424 0.      ]
143,3673.0128192532015,766.2699575287022,-1590.079147273506,143,[3.072335 2.761939 0.      ]
146,2815.456387623192,1486.7720782002802,-1050.7036108973223,146,[3.117186 2.780517 0.      ]
149,-4913.352081469798,-1766.013834026148,1532.3993200482794,149,[3.157739 2.807613 0.      ]
152,9773.918625360502,7343.1965515404045,-9197.61493159533,152,[3.192387 2.842261 0.      ]
155,6427.705163914846,8468.461180026723,-6962.317674255863,155,[3.219483 2.882814 0.      ]
158,2213.849613764137,10084.729556775328,-5177.958957337357,158,[3.238061 2.927665 0.      ]
160,-53.48356745300771,11239.009586861408,-1847.584433827707,160,[3.247576 2.9755   0.      ]
161,-3763.537673834825,2998.943952574812,164.90296251694497,161,[2.583333 3.       0.      ]
162,-4050.6221884367087,6858.084370551839,83.58324749454785,162,[2.666667 3.       0.      ]
163,-3898.8652512866106,6741.93819638698,95.2633246263764,163,[3.333333 3.       0.      ]
164,-3544.9248558358627,3058.1581264672022,260.7400824756886,164,[3.416667 3.       0.      ]
165,-4835.937837165807,3076.365279713043,1604.0480196123804,165,[3.408586 3.081666 0.      ]
166,-3561.20413663864,781.0152374134025,4426.561446164499,166,[3.384949 3.159451 0.      ]
167,1621.5899724656329,-2088.3424175354908,5400.111535219927,167,[3.346661 3.231167 0.      ]
168,2780.2193257070494,-1504.3486920206055,1489.261599284394,168,[3.294628 3.294628 0.      ]
169,-291.0951782851157,-225.211625809378,145.6313195740336,169,[3.231167 3.346661 0.      ]
