NID,U1,U2
160,0.002507366479993691,-6.216677801235001e-05
161,0.001452286974956767,-2.0661725524936144e-05
162,0.0014964337692031518,-1.7471173018849853e-05
163,0.002548491551242085,-8.199524998797795e-05
164,0.0025911425808448473,-8.061763549796113e-05
165,0.0025763943362898368,-0.00011541022439426053
166,0.002520239725956813,-0.00013845057820966914
167,0.0024173338507240683,-0.00012707561961702244
168,0.0022978685510057786,-7.460285834200528e-05
169,0.002201341865660026,-1.1428579098106778e-05
170,0.0021217726465740465,4.528691658939243e-05
171,0.0020602516850491315,8.62098535706128e-05
172,0.0020174975484561356,0.00010436227196864131
173,0.001975834434503542,9.111148827026152e-05
174,0.0019161509558478429,5.055203619595023e-05
175,0.00182239801383931,-1.5704850862875905e-05
176,0.0017054806370163484,-7.068757017903393e-05
177,0.0015917902127152875,-9.24382488414082e-05
178,0.0015035076917100819,-8.54324804078752e-05
179,0.0014578990242208184,-5.7053914422604285e-05
180,0.002526755105526848,-0.00012801838793857819
181,0.0024672880048641544,-0.00015818515622977904
182,0.0023699864434109704,-0.00015173113363599498
183,0.002254523146309077,-0.00010107013837101985
184,0.0021489418059072772,-2.9478898425168812e-05
185,0.0020728851912434256,4.061963127643494e-05
186,0.0020314460485566653,8.971256499655583e-05
187,0.0020107781469308967,0.00010916306473829277
188,0.001990462067691264,9.628940034229417e-05
189,0.0019486716664554684,5.1309380709806934e-05
190,0.0018682105894010622,-1.6559595497007484e-05
191,0.0017554238400038277,-7.94726597509175e-05
192,0.0016437459092833078,-0.00011120795441126193
193,0.0015574939860050442,-0.0001037969661059811
194,0.0015078616192965898,-6.638694980344253e-05
195,0.0026024944961175467,-0.00011380075879242045
196,0.0025858568693281044,-9.718066793744486e-05
197,0.0026071042552997825,-8.062086829711502e-05
198,0.002553932279173851,-0.00013470636238935616
199,0.0025551200566971783,-0.00012875768850419852
200,0.002452458971325468,-0.0001218118167221558
201,0.0024768217970306786,-0.000137310152132892
202,0.0023223528119074074,-6.0528196201451144e-05
203,0.0023591325637858382,-0.00010525532431203068
204,0.0022256315307541204,-1.4260261437451606e-06
205,0.0022495080179470383,-4.287815084506638e-05
206,0.0021392618134398775,4.297869537689081e-05
207,0.0021619415029197286,1.8741933514641987e-05
208,0.0020645907175863946,8.143755945492127e-05
209,0.002088210246775329,6.88264125990477e-05
210,0.002019537058866723,0.00010220283740008394
211,0.0020366191362395157,9.737921041240894e-05
212,0.0019795569486987788,8.758193365417627e-05
213,0.0019982864054895835,0.00010033841457257988
214,0.0019148900555919356,4.7569146646798307e-05
215,0.0019493931499907958,7.448261812960267e-05
216,0.0018054991556314913,-2.1804804264327882e-05
217,0.0018736439160021768,1.8290628971768107e-05
218,0.0016660186195613482,-7.423624641065735e-05
219,0.0017638919111900287,-4.730071684718182e-05
220,0.0015505560544625638,-8.358315567177894e-05
221,0.0016410647029862114,-8.478938028579089e-05
222,0.0014697033864932412,-7.472366021632837e-05
223,0.0015405858515147083,-9.050654738126304e-05
224,0.0014320971363076355,-5.260839160468032e-05
225,0.0014740736961786818,-7.227862035779855e-05
226,0.001435678598952627,-2.1492916485288837e-05
227,0.0014530342489929705,-3.8104721190913934e-05
228,0.0025513057923608113,-0.0001205772882682362
229,0.002541937351693572,-0.00010576584205429054
230,0.002492299485820964,-0.00014666943717251814
231,0.002502523212303147,-0.00014558704251067806
232,0.0023911908430649443,-0.00013645781562674134
233,0.0024242561710284055,-0.0001601172210568636
234,0.002276869025234961,-8.726002766851989e-05
235,0.0023128975179400346,-0.0001286377025599349
236,0.002179393766278174,-2.018365910773002e-05
237,0.00220117202346725,-6.62932883433161e-05
238,0.0021005685134510457,4.443371051450398e-05
239,0.0021059359813610646,7.657445762494967e-06
240,0.0020489118281055,8.938283441231636e-05
241,0.002048774803943618,6.832810891124935e-05
242,0.0020141523184979706,0.00010712067088460509
243,0.0020201960579348016,0.00010287587157557287
244,0.0019798751474160593,9.480230212142224e-05
245,0.0020016481273276844,0.00010629210586796631
246,0.00192760593120142,5.1898162200307205e-05
